time	x	rho	rhou
2.72361	6	1	-1.84087e-09
2.72361	7	1	-4.1832e-09
2.72361	8	1	-9.32018e-09
2.72361	9	1	-2.03587e-08
2.72361	10	1	-4.35984e-08
2.72361	11	1	-9.15304e-08
2.72361	12	1	-1.88372e-07
2.72361	13	1	-3.80015e-07
2.72361	14	1	-7.51449e-07
2.72361	15	1	-1.45642e-06
2.72361	16	1	-2.76657e-06
2.72361	17	1.00001	-5.15034e-06
2.72361	18	1.00002	-9.39597e-06
2.72361	19	1.00003	-1.67969e-05
2.72361	20	1.00006	-2.94217e-05
2.72361	21	1.0001	-5.04919e-05
2.72361	22	1.00017	-8.48895e-05
2.72361	23	1.00028	-0.000139806
2.72361	24	1.00047	-0.000225523
2.72361	25	1.00076	-0.00035629
2.72361	26	1.00122	-0.0005512
2.72361	27	1.0019	-0.000834929
2.72361	28	1.00292	-0.00123811
2.72361	29	1.0044	-0.00179704
2.72361	30	1.0065	-0.00255248
2.72361	31	1.00942	-0.00354704
2.72361	32	1.0134	-0.00482107
2.72361	33	1.0187	-0.0064069
2.72361	34	1.02561	-0.00832144
2.72361	35	1.0344	-0.0105579
2.72361	36	1.04534	-0.0130776
2.72361	37	1.05862	-0.0158022
2.72361	38	1.07436	-0.0186109
2.72361	39	1.09256	-0.0213419
2.72361	40	1.11303	-0.023796
2.72361	41	1.13542	-0.0257573
2.72361	42	1.15919	-0.0269857
2.72361	43	1.1836	-0.0273021
2.72361	44	1.20776	-0.0265321
2.72361	45	1.23068	-0.0245774
2.72361	46	1.2513	-0.0214388
2.72361	47	1.2686	-0.0171987
2.72361	48	1.2817	-0.0120261
2.72361	49	1.28984	-0.00618567
2.72361	50	1.29261	0
2.72361	51	1.28984	0.00618567
2.72361	52	1.2817	0.0120261
2.72361	53	1.2686	0.0171987
2.72361	54	1.2513	0.0214388
2.72361	55	1.23068	0.0245774
2.72361	56	1.20776	0.0265321
2.72361	57	1.1836	0.0273021
2.72361	58	1.15919	0.0269857
2.72361	59	1.13542	0.0257573
2.72361	60	1.11303	0.023796
2.72361	61	1.09256	0.0213419
2.72361	62	1.07436	0.0186109
2.72361	63	1.05862	0.0158022
2.72361	64	1.04534	0.0130776
2.72361	65	1.0344	0.0105579
2.72361	66	1.02561	0.00832144
2.72361	67	1.0187	0.0064069
2.72361	68	1.0134	0.00482107
2.72361	69	1.00942	0.00354704
2.72361	70	1.0065	0.00255248
2.72361	71	1.0044	0.00179704
2.72361	72	1.00292	0.00123811
2.72361	73	1.0019	0.000834929
2.72361	74	1.00122	0.0005512
2.72361	75	1.00076	0.00035629
2.72361	76	1.00047	0.000225523
2.72361	77	1.00028	0.000139806
2.72361	78	1.00017	8.48895e-05
2.72361	79	1.0001	5.04919e-05
2.72361	80	1.00006	2.94217e-05
